full_item,stage1_code,stage2_code,combined_target,combine_text,category_stage1,category_stage2,category_combined
Request for approval: hardwood oak strip flooring 3/4-inch solid for use for restrooms and locker rooms. Transition strips at all flooring material changes. per ASTM F710 for substrate preparation.,09,60,09 60,request approval hardwood oak strip floor inch solid use restroom locker room transition strip floor material change astm f substrate preparation,category_stage1_05,category_stage2_007,category_stage1_05__category_stage2_007
Furnish and install steel fixed-lite windows for industrial as indicated on drawings and per AAMA/WDMA/CSA 101 performance standards. Color: clear anodized aluminum or custom RAL color.,08,50,08 50,furnish install steel fix lite window industrial indicate drawing aama wdma csa performance standard color clear anodized aluminum custom ral color,category_stage1_04,category_stage2_006,category_stage1_04__category_stage2_006
"Subcontractor bid for insulating concrete forms (ICF). Location: at building core shear walls. Includes all bracing, wedges, and form oil.",03,10,03 10,subcontractor bid insulate concrete form icf location build core shear wall include brace wedge form oil,category_stage1_01,category_stage2_002,category_stage1_01__category_stage2_002
Supply and install abuse-resistant gypsum board for corridors for tenant improvement build-out. Includes acoustic sealant at top and bottom tracks. per GA (Gypsum Association) Fire Resistance Design Manual.,09,20,09 20,supply install abuse resistant gypsum board corridor tenant improvement build include acoustic sealant track ga gypsum association fire resistance design manual,category_stage1_05,category_stage2_003,category_stage1_05__category_stage2_003
Vendor submittal: steel access hatches and floor plates. Field welds to be ground smooth and touch-up painted. per project specification Section 05 50 00.,05,50,05 50,vendor submittal steel access hatch floor plate field weld grind smooth touch paint project specification section,category_stage1_02,category_stage2_006,category_stage1_02__category_stage2_006
SCOPE OF WORK DESCRIPTION: Vendor submittal: non-composite roof deck panels. Deck to be Vulcraft or approved equal. per SDI (Steel Deck Institute) standards.,05,30,05 30,scope work description vendor submittal non composite roof deck panel deck vulcraft approve equal sdi steel deck institute standard,category_stage1_02,category_stage2_004,category_stage1_02__category_stage2_004
"BID ITEM: Proposal for application of high-performance epoxy wall coating for wet areas for all interior walls and ceilings. Includes surface preparation, sanding and priming.",09,90,09 90,bid item proposal application high performance epoxy wall coat wet area interior wall ceiling include surface preparation sand prim,category_stage1_05,category_stage2_010,category_stage1_05__category_stage2_010
furnishing and erection of steel angle lintels for masonry openings including all necessary accessories and hardware. per AISC 360 Specification for Structural Steel Buildings.,05,10,05 10,furnish erection steel angle lintel masonry opening include necessary accessory hardware aisc specification structural steel building,category_stage1_02,category_stage2_002,category_stage1_02__category_stage2_002
Proposal for procurement and installation of electric water cooler / drinking fountain for below-grade sewage ejection system. 5-year manufacturer warranty on heat exchanger.,22,30,22 30,proposal procurement installation electric water cooler drinking fountain grade sewage ejection system year manufacturer warranty heat exchanger,category_stage1_06,category_stage2_004,category_stage1_06__category_stage2_004
"Provide all labor, materials and equipment for bentonite clay waterproofing panels for elevator pit and mechanical room. per ASTM D6153 for liquid-applied waterproofing. Surface preparation includes primer coat as recommended by manufacturer.",07,10,07 10,provide labor material equipment bentonite clay waterproofing panel elevator pit mechanical room astm d liquid apply waterproof surface preparation include primer coat recommend manufacturer,category_stage1_03,category_stage2_002,category_stage1_03__category_stage2_002
"Material submittal for sheet vinyl flooring for healthcare corridors. Includes all floor preparation, leveling and patching. Refer to per ASTM F710 for substrate preparation.",09,60,09 60,material submittal sheet vinyl flooring healthcare corridor include floor preparation leveling patching refer astm f substrate preparation,category_stage1_05,category_stage2_007,category_stage1_05__category_stage2_007
Vendor submittal: wood stain and polyurethane finish for millwork. Two coats finish over one coat primer on new drywall. per MPI (Master Painters Institute) standards.,09,90,09 90,vendor submittal wood stain polyurethane finish millwork coat finish coat primer new drywall mpi master painters institute standard,category_stage1_05,category_stage2_010,category_stage1_05__category_stage2_010
PROJECT PROPOSAL: Quotation for metal stud framing 3-5/8 inch 20-gauge for bathroom and kitchen wet-area walls. Corner bead at all exposed edges and reveals. per project specification Section 09 20 00.,09,20,09 20,project proposal quotation metal stud frame inch gauge bathroom kitchen wet area wall corner bead expose edge reveal project specification section,category_stage1_05,category_stage2_003,category_stage1_05__category_stage2_003
Subcontractor bid for structural steel wide-flange beams W12x26. Location: for lateral bracing system per seismic design. Steel to be blast-cleaned and primed with shop primer.,05,10,05 10,subcontractor bid structural steel wide flange beam w x location lateral bracing system seismic design steel blast clean prim shop primer,category_stage1_02,category_stage2_002,category_stage1_02__category_stage2_002
"Supply and install EPDM rubber roofing membrane fully adhered for green roof system over parking structure. Includes all flashings, counterflashings, and edge metal. per NRCA roofing guidelines.",07,50,07 50,supply install epdm rubber roof membrane fully adhere green roof system parking structure include flashing counterflashing edge metal nrca roofing guideline,category_stage1_03,category_stage2_006,category_stage1_03__category_stage2_006
BID ITEM: Material submittal for wood stain and polyurethane finish for millwork. Two coats finish over one coat primer on new drywall. Refer to per SSPC surface preparation standards for steel.,09,90,09 90,bid item material submittal wood stain polyurethane finish millwork coat finish coat primer new drywall refer sspc surface preparation standard steel,category_stage1_05,category_stage2_010,category_stage1_05__category_stage2_010
Subcontractor bid for ornamental steel railing and balusters. Location: miscellaneous metals throughout building. All exposed steel to be hot-dip galvanized after fabrication.,05,50,05 50,subcontractor bid ornamental steel railing baluster location miscellaneous metal build expose steel hot dip galvanize fabrication,category_stage1_02,category_stage2_006,category_stage1_02__category_stage2_006
SCOPE OF WORK DESCRIPTION: Furnish and install unit heater gas-fired for warehouse as indicated on drawings and per ASME Boiler and Pressure Vessel Code for boilers. Controls integrated with building automation system (BAS).,23,70,23 70,scope work description furnish install unit heater gas fire warehouse indicate drawing asme boiler pressure vessel code boiler control integrate building automation system bas,category_stage1_07,category_stage2_008,category_stage1_07__category_stage2_008
SCOPE OF WORK DESCRIPTION: Subcontractor bid for sewage ejector pump with alarm. Location: for kitchen grease waste management. Unit to be seismic-rated for installation zone.,22,30,22 30,scope work description subcontractor bid sewage ejector pump alarm location kitchen grease waste management unit seismic rat installation zone,category_stage1_06,category_stage2_004,category_stage1_06__category_stage2_004
Subcontractor bid for concrete pump truck and placement services. Location: for elevated concrete slabs at all levels. Concrete to be cured with wet burlap and plastic sheeting for 7 days.,03,30,03 30,subcontractor bid concrete pump truck placement service location elevated concrete slab level concrete cure wet burlap plastic sheet day,category_stage1_01,category_stage2_004,category_stage1_01__category_stage2_004
"PROJECT PROPOSAL: Vendor submittal: condensing high-efficiency boiler 95% AFUE. Includes gas piping, venting and combustion air provisions. per project specification Section 23 70 00.",23,70,23 70,project proposal vendor submittal condense high efficiency boiler afue include gas piping venting combustion air provision project specification section,category_stage1_07,category_stage2_008,category_stage1_07__category_stage2_008
RE: Dampproofing and Waterproofing – Furnish and install sheet membrane waterproofing for plaza deck as indicated on drawings and per project specification Section 07 10 00. Includes protection board and drainage composite.,07,10,07 10,dampproofe waterproof furnish install sheet membrane waterproofing plaza deck indicate drawing project specification section include protection board drainage composite,category_stage1_03,category_stage2_002,category_stage1_03__category_stage2_002
"Supply and install fire-rated steel doors and frames 90-minute for warehouse and loading dock openings. Hardware to include lever handles, closers, and hinges per hardware schedule. per door and hardware schedule on drawings.",08,10,08 10,supply install fire rat steel door frame minute warehouse load dock opening hardware include lever handle closer hinge hardware schedule door hardware schedule drawing,category_stage1_04,category_stage2_002,category_stage1_04__category_stage2_002
"Vendor submittal: grease interceptor for commercial kitchen. Equipment includes mounting, piping connections and startup. per local health and plumbing code requirements.",22,30,22 30,vendor submittal grease interceptor commercial kitchen equipment include mount piping connection startup local health plumb code requirement,category_stage1_06,category_stage2_004,category_stage1_06__category_stage2_004
Quotation for underground PVC electrical conduit duct bank for grounding electrode system per NEC. All wiring and raceway per National Electrical Code (NEC). per NECA installation standards.,26,05,26 05,quotation underground pvc electrical conduit duct bank ground electrode system nec wiring raceway national electrical code nec neca installation standard,category_stage1_08,category_stage2_001,category_stage1_08__category_stage2_001
Material submittal for raised access flooring system 6-inch pedestal. Transition strips at all flooring material changes. Refer to per TCNA Handbook for tile installations.,09,60,09 60,material submittal raise access floor system inch pedestal transition strip floor material change refer tcna handbook tile installation,category_stage1_05,category_stage2_007,category_stage1_05__category_stage2_007
Furnish and install slab edge forms and blockouts as indicated on drawings and per structural engineer approved shop drawings. Forms to remain in place for minimum 7-day cure period.,03,10,03 10,furnish install slab edge form blockout indicate drawing structural engineer approve shop drawing form remain place minimum day cure period,category_stage1_01,category_stage2_002,category_stage1_01__category_stage2_002
Scope of work includes shop fabrication and field erection of structural steel roof trusses for second floor and roof framing. Steel to be blast-cleaned and primed with shop primer.,05,10,05 10,scope work include shop fabrication field erection structural steel roof truss second floor roof frame steel blast clean prim shop primer,category_stage1_02,category_stage2_002,category_stage1_02__category_stage2_002
"Provide all labor, materials and equipment for steel base plates and anchor bolts for steel canopy at building entrance. per AISC 360 Specification for Structural Steel Buildings. Includes crane and rigging for steel erection.",05,10,05 10,provide labor material equipment steel base plate anchor bolt steel canopy build entrance aisc specification structural steel building include crane rigging steel erection,category_stage1_02,category_stage2_002,category_stage1_02__category_stage2_002
Vendor submittal: acoustic metal deck with perforations. Deck to be Vulcraft or approved equal. per SDI (Steel Deck Institute) standards.,05,30,05 30,vendor submittal acoustic metal deck perforation deck vulcraft approve equal sdi steel deck institute standard,category_stage1_02,category_stage2_004,category_stage1_02__category_stage2_004
"RE: Concrete Reinforcing – Provide all labor, materials and equipment for grade 60 deformed reinforcing steel bars for parking structure post-tensioned slabs. per ASTM A615 Grade 60 specifications. Mill certifications required for all reinforcing steel.",03,20,03 20,concrete reinforce provide labor material equipment grade deform reinforce steel bar parking structure post tensioned slab astm grade specification mill certification require reinforce steel,category_stage1_01,category_stage2_003,category_stage1_01__category_stage2_003
BID ITEM: Supply and install fabric ductwork for open ceiling areas for commercial kitchen ventilation system. Duct leakage testing per SMACNA Class A seal requirement. per ASHRAE 90.1 duct insulation requirements.,23,30,23 30,bid item supply install fabric ductwork open ceiling area commercial kitchen ventilation system duct leakage testing smacna class seal requirement ashrae duct insulation requirement,category_stage1_07,category_stage2_004,category_stage1_07__category_stage2_004
Material submittal for headed reinforcing bar anchors. Bar supports at maximum 4-foot spacing. Refer to per CRSI Manual of Standard Practice.,03,20,03 20,material submittal headed reinforce bar anchor bar support maximum foot space refer crsi manual standard practice,category_stage1_01,category_stage2_003,category_stage1_01__category_stage2_003
Vendor submittal: specialty antimicrobial paint for healthcare. Touch-up painting at all trades damage at project completion. per MPI (Master Painters Institute) standards.,09,90,09 90,vendor submittal specialty antimicrobial paint healthcare touch paint trade damage project completion mpi master painters institute standard,category_stage1_05,category_stage2_010,category_stage1_05__category_stage2_010
Vendor submittal: CPVC hot and cold water distribution piping. Insulation on all hot and cold water piping per specification. per local plumbing code and health department requirements.,22,10,22 10,vendor submittal cpvc hot cold water distribution piping insulation hot cold water piping specification local plumbing code health department requirement,category_stage1_06,category_stage2_002,category_stage1_06__category_stage2_002
SCOPE OF WORK DESCRIPTION: Quotation for fire-rated glazing assemblies 60-minute for curtain wall and storefront glazing systems. Insulated units with warm-edge spacer and argon gas fill. per ASTM C1048 for flat glass specifications.,08,80,08 80,scope work description quotation fire rat glazing assembly minute curtain wall storefront glazing system insulate unit warm edge spacer argon gas fill astm c flat glass specification,category_stage1_04,category_stage2_009,category_stage1_04__category_stage2_009
"Supply and install point-of-use water filtration system for building water treatment and softening. Equipment includes mounting, piping connections and startup. per ASME Boiler and Pressure Vessel Code.",22,30,22 30,supply install point use water filtration system build water treatment soften equipment include mount piping connection startup asme boiler pressure vessel code,category_stage1_06,category_stage2_004,category_stage1_06__category_stage2_004
Request for approval: stainless steel reinforcement for corrosive environments for use for foundation mat and footings. Bar supports at maximum 4-foot spacing. per ASTM A615 Grade 60 specifications.,03,20,03 20,request approval stainless steel reinforcement corrosive environment use foundation mat footing bar support maximum foot space astm grade specification,category_stage1_01,category_stage2_003,category_stage1_01__category_stage2_003
supply and installation of wired glass for fire-rated openings including all necessary accessories and hardware. per IGCC standards for insulating glass.,08,80,08 80,supply installation wire glass fire rat opening include necessary accessory hardware igcc standard insulate glass,category_stage1_04,category_stage2_009,category_stage1_04__category_stage2_009
RE: Painting and Coating – Supply and install interior latex paint (2 coats) over primer for mechanical and electrical rooms. Colors per architect-selected paint schedule. per paint manufacturer technical data sheets.,09,90,09 90,paint coat supply install interior latex paint coat primer mechanical electrical room color architect select paint schedule paint manufacturer technical data sheet,category_stage1_05,category_stage2_010,category_stage1_05__category_stage2_010
furnishing and connecting of bus duct feeder system from switchboard including all necessary accessories and hardware. per NFPA 110 for emergency power systems.,26,20,26 20,furnish connect bus duct feed system switchboard include necessary accessory hardware nfpa emergency power system,category_stage1_08,category_stage2_003,category_stage1_08__category_stage2_003
Subcontractor bid for bird-friendly fritted glass panels. Location: for building lobby and atrium glazing. Insulated units with warm-edge spacer and argon gas fill.,08,80,08 80,subcontractor bid bird friendly fritt glass panel location build lobby atrium glazing insulate unit warm edge spacer argon gas fill,category_stage1_04,category_stage2_009,category_stage1_04__category_stage2_009
BID ITEM: Furnish and install roof walkway pads and protection mats as indicated on drawings and per manufacturer approved applicator installation manual. Remove existing roofing to deck and install new system complete.,07,50,07 50,bid item furnish install roof walkway pad protection mat indicate drawing manufacturer approve applicator installation manual remove exist roofing deck install new system complete,category_stage1_03,category_stage2_006,category_stage1_03__category_stage2_006
"PROJECT PROPOSAL: Material submittal for specialty antimicrobial paint for healthcare. Includes surface preparation, sanding and priming. Refer to per paint manufacturer technical data sheets.",09,90,09 90,project proposal material submittal specialty antimicrobial paint healthcare include surface preparation sand prim refer paint manufacturer technical data sheet,category_stage1_05,category_stage2_010,category_stage1_05__category_stage2_010
Proposal for supply and application of intumescent fireproofing paint for structural steel for all interior walls and ceilings. Two coats finish over one coat primer on new drywall.,09,90,09 90,proposal supply application intumescent fireproofing paint structural steel interior wall ceiling coat finish coat primer new drywall,category_stage1_05,category_stage2_010,category_stage1_05__category_stage2_010
Material submittal for steel dumpster enclosure frame. Handrails to comply with ADA requirements. Refer to conforming to ASTM A36 for miscellaneous steel.,05,50,05 50,material submittal steel dumpster enclosure frame handrail comply ada requirement refer conform astm miscellaneous steel,category_stage1_02,category_stage2_006,category_stage1_02__category_stage2_006
"Request for approval: roofing insulation tapered cricket system for use for low-slope roof area approximately 45,000 square feet. Insulation R-30 minimum per energy code, tapered for drainage. per FM Global and UL listed roof assembly.",07,50,07 50,request approval roofing insulation taper cricket system use low slope roof area approximately square foot insulation r minimum energy code taper drainage fm global ul list roof assembly,category_stage1_03,category_stage2_006,category_stage1_03__category_stage2_006
Supply and install emergency and exit lighting with battery backup for exterior site and building-mounted lighting. Includes dimming drivers compatible with 0-10V control system. per project specification Section 26 50 00.,26,50,26 50,supply install emergency exit lighting battery backup exterior site building mount lighting include dim driver compatible v control system project specification section,category_stage1_08,category_stage2_006,category_stage1_08__category_stage2_006
Request for approval: triple-glazed high-performance IGU for use for canopy and skylight overhead glazing. Glass thickness and type per structural analysis for wind loads. per ASTM C1048 for flat glass specifications.,08,80,08 80,request approval triple glaze high performance igu use canopy skylight overhead glazing glass thickness type structural analysis wind load astm c flat glass specification,category_stage1_04,category_stage2_009,category_stage1_04__category_stage2_009
SCOPE OF WORK DESCRIPTION: Subcontractor bid for surge protective device (SPD) panel-mounted. Location: for electrical room equipment installation. Equipment to be UL 891 listed and labeled.,26,20,26 20,scope work description subcontractor bid surge protective device spd panel mount location electrical room equipment installation equipment ul list label,category_stage1_08,category_stage2_003,category_stage1_08__category_stage2_003
Furnish and install equipment support steel framing as indicated on drawings and per ADA and local building code requirements. Field welds to be ground smooth and touch-up painted.,05,50,05 50,furnish install equipment support steel framing indicate drawing ada local building code requirement field weld grind smooth touch paint,category_stage1_02,category_stage2_006,category_stage1_02__category_stage2_006
"Provide all labor, materials and equipment for slab edge forms and blockouts for cast-in-place concrete columns. per ACI 347 standards. Includes all bracing, wedges, and form oil.",03,10,03 10,provide labor material equipment slab edge form blockout cast place concrete column aci standard include brace wedge form oil,category_stage1_01,category_stage2_002,category_stage1_01__category_stage2_002
Furnish and install copper building wire THHN/THWN various sizes as indicated on drawings and per NECA installation standards. As-built drawings required showing all concealed raceway routing.,26,05,26 05,furnish install copper building wire thhn thwn size indicate drawing neca installation standard build drawing require show conceal raceway routing,category_stage1_08,category_stage2_001,category_stage1_08__category_stage2_001
BID ITEM: procurement and mounting of LED high-bay warehouse light fixtures including all necessary accessories and hardware. per project specification Section 26 50 00.,26,50,26 50,bid item procurement mount lead high bay warehouse light fixture include necessary accessory hardware project specification section,category_stage1_08,category_stage2_006,category_stage1_08__category_stage2_006
SCOPE OF WORK DESCRIPTION: procurement and installation of recirculating hot water pump system including all necessary accessories and hardware. per NSF/ANSI 61 for drinking water components.,22,30,22 30,scope work description procurement installation recirculate hot water pump system include necessary accessory hardware nsf ansi drink water component,category_stage1_06,category_stage2_004,category_stage1_06__category_stage2_004
Supply and install motor control center (MCC) with VFDs for tenant electrical metering and sub-distribution. Equipment to be UL 891 listed and labeled. per utility company service entrance requirements.,26,20,26 20,supply install motor control center mcc vfds tenant electrical metering sub distribution equipment ul list label utility company service entrance requirement,category_stage1_08,category_stage2_003,category_stage1_08__category_stage2_003
PROJECT PROPOSAL: Supply and install air-cooled scroll chiller 100-ton capacity for tenant space supplemental cooling. Factory startup and commissioning by manufacturer representative. per ASHRAE 90.1 minimum efficiency requirements.,23,60,23 60,project proposal supply install air cool scroll chiller ton capacity tenant space supplemental cool factory startup commission manufacturer representative ashrae minimum efficiency requirement,category_stage1_07,category_stage2_007,category_stage1_07__category_stage2_007
"Subcontractor bid for electric resistance duct heater. Location: for mechanical room boiler plant. Includes gas piping, venting and combustion air provisions.",23,70,23 70,subcontractor bid electric resistance duct heater location mechanical room boiler plant include gas piping venting combustion air provision,category_stage1_07,category_stage2_008,category_stage1_07__category_stage2_008
VENDOR SUBMITTAL: Subcontractor bid for steel pipe bollards with concrete fill. Location: miscellaneous metals throughout building. Field welds to be ground smooth and touch-up painted.,05,50,05 50,vendor submittal subcontractor bid steel pipe bollard concrete fill location miscellaneous metal build field weld grind smooth touch paint,category_stage1_02,category_stage2_006,category_stage1_02__category_stage2_006
This submittal covers the supply and installation of copper Type L water supply piping and fittings for sanitary sewer and storm drain piping. All work to comply with per project specification Section 22 10 00. Piping to be pressure tested at 1.5x operating pressure.,22,10,22 10,submittal cover supply installation copper type l water supply piping fitting sanitary sewer storm drain piping work comply project specification section piping pressure test x operating pressure,category_stage1_06,category_stage2_002,category_stage1_06__category_stage2_002
This submittal covers the furnishing and pulling of firestopping for electrical penetrations for underground electrical duct bank to building. All work to comply with per NECA installation standards. Conduit fill not to exceed 40% per NEC Chapter 9.,26,05,26 05,submittal cover furnishing pulling firestoppe electrical penetration underground electrical duct bank build work comply neca installation standard conduit fill exceed nec chapter,category_stage1_08,category_stage2_001,category_stage1_08__category_stage2_001
Quotation for galvanized corrugated steel decking for parking garage composite deck system. Deck to be Vulcraft or approved equal. conforming to ASTM A653 galvanized steel.,05,30,05 30,quotation galvanized corrugated steel decking parking garage composite deck system deck vulcraft approve equal conforming astm galvanized steel,category_stage1_02,category_stage2_004,category_stage1_02__category_stage2_004
"Subcontractor bid for dry-type transformer 75 kVA 480V to 208/120V. Location: for emergency and standby power system. Includes circuit breakers, fuses and all internal components.",26,20,26 20,subcontractor bid dry type transformer kva v v location emergency standby power system include circuit breaker fuse internal component,category_stage1_08,category_stage2_003,category_stage1_08__category_stage2_003
Scope of work includes procurement and mounting of LED recessed troffer light fixtures 2x4 for interior lighting per reflected ceiling plan. Lighting controls to include occupancy sensors per energy code.,26,50,26 50,scope work include procurement mounting lead recessed troffer light fixture x interior lighting reflect ceiling plan light control include occupancy sensor energy code,category_stage1_08,category_stage2_006,category_stage1_08__category_stage2_006
"Quotation for zinc-rich primer for corrosion protection for millwork, casework and trim. Touch-up painting at all trades damage at project completion. per MPI (Master Painters Institute) standards.",09,90,09 90,quotation zinc rich primer corrosion protection millwork casework trim touch paint trade damage project completion mpi master painters institute standard,category_stage1_05,category_stage2_010,category_stage1_05__category_stage2_010
"Scope of work includes supply and installation of access doors and panels flush-mounted for mechanical and electrical room access. Hardware to include lever handles, closers, and hinges per hardware schedule.",08,10,08 10,scope work include supply installation access door panel flush mount mechanical electrical room access hardware include lever handle closer hinge hardware schedule,category_stage1_04,category_stage2_002,category_stage1_04__category_stage2_002
"Furnish and install form release agent and accessories as indicated on drawings and per structural engineer approved shop drawings. Includes all bracing, wedges, and form oil.",03,10,03 10,furnish install form release agent accessory indicate drawing structural engineer approve shop drawing include brace wedge form oil,category_stage1_01,category_stage2_002,category_stage1_01__category_stage2_002
"Quotation for aluminum gang forming system for basement foundation walls. Includes all bracing, wedges, and form oil. per structural engineer approved shop drawings.",03,10,03 10,quotation aluminum gang form system basement foundation wall include brace wedge form oil structural engineer approve shop drawing,category_stage1_01,category_stage2_002,category_stage1_01__category_stage2_002
installation of roof walkway pads and protection mats including all necessary accessories and hardware. per project specification Section 07 50 00.,07,50,07 50,installation roof walkway pad protection mat include necessary accessory hardware project specification section,category_stage1_03,category_stage2_006,category_stage1_03__category_stage2_006
"This submittal covers the procurement and installation of commercial gas-fired water heater 100-gallon for kitchen grease waste management. All work to comply with per ASME Boiler and Pressure Vessel Code. Equipment includes mounting, piping connections and startup.",22,30,22 30,submittal cover procurement installation commercial gas fire water heater gallon kitchen grease waste management work comply asme boiler pressure vessel code equipment include mount piping connection startup,category_stage1_06,category_stage2_004,category_stage1_06__category_stage2_004
Furnish and install supply air diffusers and return air grilles as indicated on drawings and per ASHRAE 90.1 duct insulation requirements. Ductwork fabricated per SMACNA standards.,23,30,23 30,furnish install supply air diffuser return air grille indicate drawing ashrae duct insulation requirement ductwork fabricate smacna standard,category_stage1_07,category_stage2_004,category_stage1_07__category_stage2_004
PROJECT PROPOSAL: Furnish and install curved gypsum board soffits and bulkheads as indicated on drawings and per GA (Gypsum Association) Fire Resistance Design Manual. Corner bead at all exposed edges and reveals.,09,20,09 20,project proposal furnish install curve gypsum board soffit bulkhead indicate drawing ga gypsum association fire resistance design manual corner bead expose edge reveal,category_stage1_05,category_stage2_003,category_stage1_05__category_stage2_003
Vendor submittal: drinking fountain / bottle filler combo unit. ADA fixtures mounted at heights per accessibility code. per ASME A112.19.2 for vitreous china fixtures.,22,40,22 40,vendor submittal drinking fountain bottle filler combo unit ada fixture mount height accessibility code asme vitreous china fixture,category_stage1_06,category_stage2_005,category_stage1_06__category_stage2_005
RE: Metal Fabrications – Supply and install galvanized steel shelf angles for masonry for equipment pads and roof penetration supports. Field welds to be ground smooth and touch-up painted. per architectural detail drawings.,05,50,05 50,metal fabrication supply install galvanized steel shelf angle masonry equipment pad roof penetration support field weld grind smooth touch paint architectural detail drawing,category_stage1_02,category_stage2_006,category_stage1_02__category_stage2_006
"RE: Painting and Coating – Material submittal for zinc-rich primer for corrosion protection. Includes surface preparation, sanding and priming. Refer to per paint manufacturer technical data sheets.",09,90,09 90,paint coat material submittal zinc rich primer corrosion protection include surface preparation sand prim refer paint manufacturer technical data sheet,category_stage1_05,category_stage2_010,category_stage1_05__category_stage2_010
Subject: Material Submittal – Vendor submittal: epoxy resin flooring for commercial kitchen. Base: 4-inch rubber or tile cove base at all walls. per TCNA Handbook for tile installations.,09,60,09 60,subject material submittal vendor submittal epoxy resin floor commercial kitchen base inch rubber tile cove base wall tcna handbook tile installation,category_stage1_05,category_stage2_007,category_stage1_05__category_stage2_007
"Scope of work includes fabrication and installation of ductwork insulation wrap and lining for commercial kitchen ventilation system. Includes all hangers, supports and seismic bracing per code.",23,30,23 30,scope work include fabrication installation ductwork insulation wrap lining commercial kitchen ventilation system include hanger support seismic bracing code,category_stage1_07,category_stage2_004,category_stage1_07__category_stage2_004
application of foam board insulation for slab edge including all necessary accessories and hardware. per project specification Section 07 20 00.,07,20,07 20,application foam board insulation slab edge include necessary accessory hardware project specification section,category_stage1_03,category_stage2_003,category_stage1_03__category_stage2_003
RE: Cast-in-Place Concrete – Material submittal for exposed aggregate decorative concrete. Water-to-cement ratio not to exceed 0.45. Refer to per project specification Section 03 30 00.,03,30,03 30,cast place concrete material submittal exposed aggregate decorative concrete water cement ratio exceed refer project specification section,category_stage1_01,category_stage2_004,category_stage1_01__category_stage2_004
Scope of work includes supply and installation of solid core wood doors with hardware for interior and exterior door openings per door schedule. Fire-rated assemblies with UL listed label.,08,10,08 10,scope work include supply installation solid core wood door hardware interior exterior door opening door schedule fire rat assembly ul list label,category_stage1_04,category_stage2_002,category_stage1_04__category_stage2_002
Subject: Material Submittal – Request for approval: main electrical switchboard 2000A 480/277V for use for building power distribution infrastructure. Load bank testing and startup by factory technician. per NFPA 110 for emergency power systems.,26,20,26 20,subject material submittal request approval main electrical switchboard v use build power distribution infrastructure load bank testing startup factory technician nfpa emergency power system,category_stage1_08,category_stage2_003,category_stage1_08__category_stage2_003
"This submittal covers the supply and erection of steel pipe bollards with concrete fill at stairwells, mechanical rooms and roof. All work to comply with per project specification Section 05 50 00. All exposed steel to be hot-dip galvanized after fabrication.",05,50,05 50,submittal cover supply erection steel pipe bollard concrete fill stairwell mechanical room roof work comply project specification section expose steel hot dip galvanize fabrication,category_stage1_02,category_stage2_006,category_stage1_02__category_stage2_006
Subject: Material Submittal – Request for approval: hot-rolled steel I-beams for floor framing for use for loading dock steel structure. High-strength bolts A325 for all connections. per project specification Section 05 10 00.,05,10,05 10,subject material submittal request approval hot roll steel beam floor frame use load dock steel structure high strength bolt connection project specification section,category_stage1_02,category_stage2_002,category_stage1_02__category_stage2_002
This submittal covers the fabrication and installation of ornamental steel railing and balusters for building perimeter bollard protection. All work to comply with conforming to ASTM A36 for miscellaneous steel. Handrails to comply with ADA requirements.,05,50,05 50,submittal cover fabrication installation ornamental steel railing baluster build perimeter bollard protection work comply conform astm miscellaneous steel handrail comply ada requirement,category_stage1_02,category_stage2_006,category_stage1_02__category_stage2_006
Material submittal for parking garage LED fixtures with daylight sensor. Lighting controls to include occupancy sensors per energy code. Refer to per IES recommended lighting levels for occupancy type.,26,50,26 50,material submittal parking garage lead fixture daylight sensor light control include occupancy sensor energy code refer ies recommend lighting level occupancy type,category_stage1_08,category_stage2_006,category_stage1_08__category_stage2_006
"Quotation for vegetated green roof assembly with drainage mat for roof replacement over existing building. Insulation R-30 minimum per energy code, tapered for drainage. per project specification Section 07 50 00.",07,50,07 50,quotation vegetate green roof assembly drainage mat roof replacement exist building insulation r minimum energy code taper drainage project specification section,category_stage1_03,category_stage2_006,category_stage1_03__category_stage2_006
RE: Concrete Reinforcing – Material submittal for reinforcing bar couplers (mechanical splices). Lap splices per ACI 318 development length requirements. Refer to in accordance with Section 03 20 00.,03,20,03 20,concrete reinforce material submittal reinforce bar coupler mechanical splice lap splice aci development length requirement refer accordance section,category_stage1_01,category_stage2_003,category_stage1_01__category_stage2_003
"Proposal for fabrication and installation of ornamental steel railing and balusters at stairwells, mechanical rooms and roof. All exposed steel to be hot-dip galvanized after fabrication.",05,50,05 50,proposal fabrication installation ornamental steel railing baluster stairwell mechanical room roof expose steel hot dip galvanize fabrication,category_stage1_02,category_stage2_006,category_stage1_02__category_stage2_006
This submittal covers the supply and installation of spandrel glass panels with ceramic frit for canopy and skylight overhead glazing. All work to comply with per project specification Section 08 80 00. Mock-up panel required for architect approval before production.,08,80,08 80,submittal cover supply installation spandrel glass panel ceramic frit canopy skylight overhead glaze work comply project specification section mock panel require architect approval production,category_stage1_04,category_stage2_009,category_stage1_04__category_stage2_009
"Subcontractor bid for steel stair stringers, treads and handrails. Location: miscellaneous metals throughout building. All exposed steel to be hot-dip galvanized after fabrication.",05,50,05 50,subcontractor bid steel stair stringer tread handrail location miscellaneous metal build expose steel hot dip galvanize fabrication,category_stage1_02,category_stage2_006,category_stage1_02__category_stage2_006
