full_item,stage1_code,stage1_name,stage2_code,stage2_name,stage1_label,stage2_label
"Proposal for delivery, rigging and startup of split-system DX cooling unit with condenser for rooftop packaged HVAC installation. Factory startup and commissioning by manufacturer representative.",23,HVAC,23 60 00,Central Cooling Equipment,Category 23 - HVAC,23 60 00 Central Cooling Equipment
Material submittal for glass mat gypsum sheathing for exterior. Taping and finishing to Level 4 finish per ASTM C840. Refer to per ASTM C840 gypsum board application standard.,09,Finishes,09 20 00,Plaster and Gypsum Board,Category 09 - Finishes,09 20 00 Plaster and Gypsum Board
Scope of work includes erection of non-composite roof deck panels for parking garage composite deck system. Deck to be welded to supports at 12 inches on center.,05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
"Material submittal for unit heater gas-fired for warehouse. Expansion tank, air separator and chemical feeder included. Refer to per AHRI certified heating capacity ratings.",23,HVAC,23 70 00,Central Heating Equipment,Category 23 - HVAC,23 70 00 Central Heating Equipment
"Subcontractor bid for EMT and rigid metal conduit with fittings. Location: for grounding electrode system per NEC. Wire pulled with approved lubricant, no damage to insulation.",26,Electrical,26 05 00,Common Work Results for Electrical,Category 26 - Electrical,26 05 00 Common Work Results for Electrical
Subcontractor bid for air-entrained concrete for exterior flatwork. Location: for concrete topping slab over metal deck. Concrete to be cured with wet burlap and plastic sheeting for 7 days.,03,Concrete,03 30 00,Cast-in-Place Concrete,Category 03 - Concrete,03 30 00 Cast-in-Place Concrete
"Request for approval: form release agent and accessories for use for retaining wall per structural drawings. Includes form stripping, cleaning, and concrete surface patching. per project specification Section 03 10 00.",03,Concrete,03 10 00,Concrete Forming and Accessories,Category 03 - Concrete,03 10 00 Concrete Forming and Accessories
"SCOPE OF WORK DESCRIPTION: Furnish and install hot-rolled steel I-beams for floor framing as indicated on drawings and per structural engineer sealed shop drawings. Includes shop drawings, erection drawings and mill certificates.",05,Metals,05 10 00,Structural Metal Framing,Category 05 - Metals,05 10 00 Structural Metal Framing
Vendor submittal: metal roof deck 1.5-inch Type B 22 gauge. Deck to be Vulcraft or approved equal. per composite design per AISC 360 Chapter I.,05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
Furnish and install curved radius concrete forms as indicated on drawings and per structural engineer approved shop drawings. Snap ties at 24 inches on center both ways.,03,Concrete,03 10 00,Concrete Forming and Accessories,Category 03 - Concrete,03 10 00 Concrete Forming and Accessories
"Provide all labor, materials and equipment for blast-resistant security window assemblies for residential tower window replacement. per energy code and ASHRAE 90.1 requirements. Color: clear anodized aluminum or custom RAL color.",08,Openings,08 50 00,Windows,Category 08 - Openings,08 50 00 Windows
SCOPE OF WORK DESCRIPTION: Scope of work includes furnishing and pulling of underground PVC electrical conduit duct bank for underground electrical duct bank to building. As-built drawings required showing all concealed raceway routing.,26,Electrical,26 05 00,Common Work Results for Electrical,Category 26 - Electrical,26 05 00 Common Work Results for Electrical
Material submittal for galvanized steel shelf angles for masonry. All exposed steel to be hot-dip galvanized after fabrication. Refer to per project specification Section 05 50 00.,05,Metals,05 50 00,Metal Fabrications,Category 05 - Metals,05 50 00 Metal Fabrications
"Quotation for miscellaneous steel angles, plates and channels for building perimeter bollard protection. Handrails to comply with ADA requirements. conforming to ASTM A36 for miscellaneous steel.",05,Metals,05 50 00,Metal Fabrications,Category 05 - Metals,05 50 00 Metal Fabrications
"Furnish and install vitreous china water closet (toilet) floor-mounted as indicated on drawings and per project specification Section 22 40 00. Includes all trim, supplies, stops and connection fittings.",22,Plumbing,22 40 00,Plumbing Fixtures,Category 22 - Plumbing,22 40 00 Plumbing Fixtures
"Scope of work includes supply and erection of ornamental steel railing and balusters for equipment pads and roof penetration supports. Includes all anchors, fasteners and connection hardware.",05,Metals,05 50 00,Metal Fabrications,Category 05 - Metals,05 50 00 Metal Fabrications
Furnish and install aluminum storefront entry doors as indicated on drawings and per NFPA 80 fire door assembly standards. Finish: factory-applied powder coat paint.,08,Openings,08 10 00,Doors and Frames,Category 08 - Openings,08 10 00 Doors and Frames
"Provide all labor, materials and equipment for epoxy-coated rebar for exposed concrete for concrete columns and beams. per CRSI Manual of Standard Practice. Lap splices per ACI 318 development length requirements.",03,Concrete,03 20 00,Concrete Reinforcing,Category 03 - Concrete,03 20 00 Concrete Reinforcing
Subcontractor bid for foundation drain board and protection course. Location: for below-grade foundation walls and footings. All seams to be sealed and corners reinforced.,07,Thermal and Moisture Protection,07 10 00,Dampproofing and Waterproofing,Category 07 - Thermal and Moisture Protection,07 10 00 Dampproofing and Waterproofing
Quotation for fabric ductwork for open ceiling areas for data center precision air distribution. TAB (Testing Adjusting Balancing) included in scope. per project specification Section 23 30 00.,23,HVAC,23 30 00,HVAC Air Distribution,Category 23 - HVAC,23 30 00 HVAC Air Distribution
Vendor submittal: supply air diffusers and return air grilles. Insulation: 2-inch fiberglass duct wrap with vapor barrier. per project specification Section 23 30 00.,23,HVAC,23 30 00,HVAC Air Distribution,Category 23 - HVAC,23 30 00 HVAC Air Distribution
fabrication and erection of steel angle lintels for masonry openings including all necessary accessories and hardware. per project specification Section 05 10 00.,05,Metals,05 10 00,Structural Metal Framing,Category 05 - Metals,05 10 00 Structural Metal Framing
Quotation for tempered safety glass panels for curtain wall and storefront glazing systems. Glass to meet ANSI Z97.1 safety glazing requirements. per glazing contractor shop drawings.,08,Openings,08 80 00,Glazing,Category 08 - Openings,08 80 00 Glazing
Subject: Material Submittal – Proposal for supply and installation of solid core wood doors with hardware for main building entry and vestibule. Fire-rated assemblies with UL listed label.,08,Openings,08 10 00,Doors and Frames,Category 08 - Openings,08 10 00 Doors and Frames
Scope of work includes supply and installation of drinking fountain / bottle filler combo unit for commercial kitchen and break rooms. ADA fixtures mounted at heights per accessibility code.,22,Plumbing,22 40 00,Plumbing Fixtures,Category 22 - Plumbing,22 40 00 Plumbing Fixtures
PROJECT PROPOSAL: This submittal covers the application of fluid-applied rubberized asphalt waterproofing for occupied basement and parking levels. All work to comply with per project specification Section 07 10 00. 10-year manufacturer warranty on waterproofing system.,07,Thermal and Moisture Protection,07 10 00,Dampproofing and Waterproofing,Category 07 - Thermal and Moisture Protection,07 10 00 Dampproofing and Waterproofing
Subcontractor bid for foundation footing formwork. Location: for basement foundation walls. Allow for three reuses of formwork panels.,03,Concrete,03 10 00,Concrete Forming and Accessories,Category 03 - Concrete,03 10 00 Concrete Forming and Accessories
BID ITEM: Vendor submittal: steam-to-hot-water heat exchanger. Factory startup required by manufacturer certified technician. per project specification Section 23 70 00.,23,HVAC,23 70 00,Central Heating Equipment,Category 23 - HVAC,23 70 00 Central Heating Equipment
Furnish and install duct silencers and sound attenuators as indicated on drawings and per project specification Section 23 30 00. Duct leakage testing per SMACNA Class A seal requirement.,23,HVAC,23 30 00,HVAC Air Distribution,Category 23 - HVAC,23 30 00 HVAC Air Distribution
SCOPE OF WORK DESCRIPTION: Scope of work includes furnishing and hanging of steel security doors with electronic hardware for warehouse and loading dock openings. Fire-rated assemblies with UL listed label.,08,Openings,08 10 00,Doors and Frames,Category 08 - Openings,08 10 00 Doors and Frames
Request for approval: evaporative condenser for refrigeration for use for rooftop packaged HVAC installation. Vibration isolation pads and curb adapter included. per AHRI certified performance ratings.,23,HVAC,23 60 00,Central Cooling Equipment,Category 23 - HVAC,23 60 00 Central Cooling Equipment
Furnish and install structural steel wide-flange beams W12x26 as indicated on drawings and per structural engineer sealed shop drawings. All connections per AISC standards and structural drawings.,05,Metals,05 10 00,Structural Metal Framing,Category 05 - Metals,05 10 00 Structural Metal Framing
Subcontractor bid for emergency and exit lighting with battery backup. Location: for parking garage and canopy lighting. Includes dimming drivers compatible with 0-10V control system.,26,Electrical,26 50 00,Lighting,Category 26 - Electrical,26 50 00 Lighting
Material submittal for wall-hung lavatory sink with faucet. Fixtures to be white vitreous china unless noted otherwise. Refer to per ASME A112.19.2 for vitreous china fixtures.,22,Plumbing,22 40 00,Plumbing Fixtures,Category 22 - Plumbing,22 40 00 Plumbing Fixtures
"Quotation for lightweight concrete for elevated slabs for slab-on-grade in warehouse area. Finish to be steel trowel for interior slabs, broom finish for exterior. per approved concrete mix design.",03,Concrete,03 30 00,Cast-in-Place Concrete,Category 03 - Concrete,03 30 00 Cast-in-Place Concrete
Proposal for supply and installation of cast iron no-hub soil pipe and fittings for sanitary sewer and storm drain piping. Insulation on all hot and cold water piping per specification.,22,Plumbing,22 10 00,Plumbing Piping and Pumps,Category 22 - Plumbing,22 10 00 Plumbing Piping and Pumps
PROJECT PROPOSAL: Subcontractor bid for cable tray system ladder type with covers. Location: for grounding electrode system per NEC. Conduit fill not to exceed 40% per NEC Chapter 9.,26,Electrical,26 05 00,Common Work Results for Electrical,Category 26 - Electrical,26 05 00 Common Work Results for Electrical
"RE: Metal Decking – Proposal for erection of non-composite roof deck panels for metal building roof deck replacement. Includes all side laps, end laps, and pour stop angles.",05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
RE: Plumbing Equipment – Subcontractor bid for water softener and treatment system. Location: for domestic hot water system in mechanical room. Unit to be seismic-rated for installation zone.,22,Plumbing,22 30 00,Plumbing Equipment,Category 22 - Plumbing,22 30 00 Plumbing Equipment
Request for approval: composite metal floor deck 3-inch 20 gauge for use for roof deck installation over steel joists. Includes temporary shoring during concrete placement. conforming to ASTM A653 galvanized steel.,05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
PROJECT PROPOSAL: Material submittal for interior latex paint (2 coats) over primer. Two coats finish over one coat primer on new drywall. Refer to per paint manufacturer technical data sheets.,09,Finishes,09 90 00,Painting and Coating,Category 09 - Finishes,09 90 00 Painting and Coating
Proposal for furnishing and piping of domestic water booster pump station for restroom and kitchen plumbing rough-in. Piping to be pressure tested at 1.5x operating pressure.,22,Plumbing,22 10 00,Plumbing Piping and Pumps,Category 22 - Plumbing,22 10 00 Plumbing Piping and Pumps
"Furnish and install main electrical switchboard 2000A 480/277V as indicated on drawings and per NEC Article 230 (Services) and 240 (Overcurrent Protection). Includes circuit breakers, fuses and all internal components.",26,Electrical,26 20 00,Low-Voltage Electrical Distribution,Category 26 - Electrical,26 20 00 Low-Voltage Electrical Distribution
This submittal covers the delivery and installation of access doors and panels flush-mounted for warehouse and loading dock openings. All work to comply with per NFPA 80 fire door assembly standards. Fire-rated assemblies with UL listed label.,08,Openings,08 10 00,Doors and Frames,Category 08 - Openings,08 10 00 Doors and Frames
procurement and installation of rubber athletic flooring for gymnasium including all necessary accessories and hardware. per manufacturer installation instructions.,09,Finishes,09 60 00,Flooring,Category 09 - Finishes,09 60 00 Flooring
This submittal covers the supply and placement of fiber-reinforced concrete (FRC) for slab on grade for concrete topping slab over metal deck. All work to comply with per approved concrete mix design. Portland cement Type I/II with 3/4 inch maximum aggregate.,03,Concrete,03 30 00,Cast-in-Place Concrete,Category 03 - Concrete,03 30 00 Cast-in-Place Concrete
"rough-in and termination of electrical junction boxes, pull boxes and fittings including all necessary accessories and hardware. per UL listed materials and components.",26,Electrical,26 05 00,Common Work Results for Electrical,Category 26 - Electrical,26 05 00 Common Work Results for Electrical
Subject: Material Submittal – Quotation for hot-rolled steel I-beams for floor framing for second floor and roof framing. High-strength bolts A325 for all connections. per project specification Section 05 10 00.,05,Metals,05 10 00,Structural Metal Framing,Category 05 - Metals,05 10 00 Structural Metal Framing
furnishing and applying of fluid-applied rubberized asphalt waterproofing including all necessary accessories and hardware. per manufacturer installation guidelines.,07,Thermal and Moisture Protection,07 10 00,Dampproofing and Waterproofing,Category 07 - Thermal and Moisture Protection,07 10 00 Dampproofing and Waterproofing
Quotation for metal roof deck 1.5-inch Type B 22 gauge for metal building roof deck replacement. Minimum bearing length 2 inches on structural steel supports. per project specification Section 05 30 00.,05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
supply and installation of computer room precision cooling unit (CRAC/CRAH) including all necessary accessories and hardware. per AHRI certified performance ratings.,23,HVAC,23 60 00,Central Cooling Equipment,Category 23 - HVAC,23 60 00 Central Cooling Equipment
"Subject: Material Submittal – Provide all labor, materials and equipment for wall-hung lavatory sink with faucet for laboratory and medical exam rooms. per ADA and ICC/ANSI A117.1 accessibility standard. Fixtures to be white vitreous china unless noted otherwise.",22,Plumbing,22 40 00,Plumbing Fixtures,Category 22 - Plumbing,22 40 00 Plumbing Fixtures
BID ITEM: Material submittal for lightweight concrete for elevated slabs. Portland cement Type I/II with 3/4 inch maximum aggregate. Refer to per approved concrete mix design.,03,Concrete,03 30 00,Cast-in-Place Concrete,Category 03 - Concrete,03 30 00 Cast-in-Place Concrete
"Provide all labor, materials and equipment for ductwork insulation wrap and lining for data center precision air distribution. per mechanical drawings and duct layout schedule. Duct leakage testing per SMACNA Class A seal requirement.",23,HVAC,23 30 00,HVAC Air Distribution,Category 23 - HVAC,23 30 00 HVAC Air Distribution
BID ITEM: This submittal covers the procurement and installation of terrazzo flooring with brass divider strips for office spaces and conference rooms. All work to comply with per manufacturer installation instructions. Transition strips at all flooring material changes.,09,Finishes,09 60 00,Flooring,Category 09 - Finishes,09 60 00 Flooring
Furnish and install distribution panelboard 225A 208/120V as indicated on drawings and per NEC Article 230 (Services) and 240 (Overcurrent Protection). Equipment to be UL 891 listed and labeled.,26,Electrical,26 20 00,Low-Voltage Electrical Distribution,Category 26 - Electrical,26 20 00 Low-Voltage Electrical Distribution
Proposal for furnishing and connecting of parking garage LED fixtures with daylight sensor for exterior site and building-mounted lighting. Lighting controls to include occupancy sensors per energy code.,26,Electrical,26 50 00,Lighting,Category 26 - Electrical,26 50 00 Lighting
"RE: Concrete Forming and Accessories – Furnish and install plywood concrete formwork system as indicated on drawings and per ACI 347 standards. Includes all bracing, wedges, and form oil.",03,Concrete,03 10 00,Concrete Forming and Accessories,Category 03 - Concrete,03 10 00 Concrete Forming and Accessories
PROJECT PROPOSAL: Subcontractor bid for fabric ductwork for open ceiling areas. Location: for office and conference room supply and return. Duct leakage testing per SMACNA Class A seal requirement.,23,HVAC,23 30 00,HVAC Air Distribution,Category 23 - HVAC,23 30 00 HVAC Air Distribution
Supply and install outside air louvers with bird screen for HVAC air distribution throughout building. TAB (Testing Adjusting Balancing) included in scope. per ASHRAE 90.1 duct insulation requirements.,23,HVAC,23 30 00,HVAC Air Distribution,Category 23 - HVAC,23 30 00 HVAC Air Distribution
BID ITEM: Furnish and install air-cooled scroll chiller 100-ton capacity as indicated on drawings and per mechanical schedule on drawings. Factory startup and commissioning by manufacturer representative.,23,HVAC,23 60 00,Central Cooling Equipment,Category 23 - HVAC,23 60 00 Central Cooling Equipment
This submittal covers the supply and installation of grade 60 deformed reinforcing steel bars for elevated concrete slab reinforcement. All work to comply with per CRSI Manual of Standard Practice. Rebar to be shop-fabricated and tagged per bar schedule.,03,Concrete,03 20 00,Concrete Reinforcing,Category 03 - Concrete,03 20 00 Concrete Reinforcing
Material submittal for TPO single-ply membrane roofing system 60-mil. Membrane to be mechanically fastened or fully adhered per wind uplift. Refer to per manufacturer approved applicator installation manual.,07,Thermal and Moisture Protection,07 50 00,Membrane Roofing,Category 07 - Thermal and Moisture Protection,07 50 00 Membrane Roofing
Request for approval: spray-applied polyurethane foam insulation (SPF) for use for exterior wall cavities and stud bays. R-value verified by third-party testing per ASTM C518. per manufacturer technical data and installation guide.,07,Thermal and Moisture Protection,07 20 00,Thermal Insulation,Category 07 - Thermal and Moisture Protection,07 20 00 Thermal Insulation
"Subject: Material Submittal – Scope of work includes supply and placement of 4000 PSI ready-mix structural concrete for exterior sidewalks and curbs. Finish to be steel trowel for interior slabs, broom finish for exterior.",03,Concrete,03 30 00,Cast-in-Place Concrete,Category 03 - Concrete,03 30 00 Cast-in-Place Concrete
"Furnish and install electric resistance duct heater as indicated on drawings and per AHRI certified heating capacity ratings. Expansion tank, air separator and chemical feeder included.",23,HVAC,23 70 00,Central Heating Equipment,Category 23 - HVAC,23 70 00 Central Heating Equipment
"VENDOR SUBMITTAL: Provide all labor, materials and equipment for veneer plaster system over blueboard for fire-rated corridor and stairwell assemblies. per UL listed assembly design number. Corner bead at all exposed edges and reveals.",09,Finishes,09 20 00,Plaster and Gypsum Board,Category 09 - Finishes,09 20 00 Plaster and Gypsum Board
"RE: Central Cooling Equipment – This submittal covers the delivery, rigging and startup of evaporative condenser for refrigeration for data center and server room cooling. All work to comply with per AHRI certified performance ratings. Vibration isolation pads and curb adapter included.",23,HVAC,23 60 00,Central Cooling Equipment,Category 23 - HVAC,23 60 00 Central Cooling Equipment
"Subject: Material Submittal – Scope of work includes tear-off and replacement of standing seam metal roof panels 24-gauge for rooftop mechanical equipment area. Includes all flashings, counterflashings, and edge metal.",07,Thermal and Moisture Protection,07 50 00,Membrane Roofing,Category 07 - Thermal and Moisture Protection,07 50 00 Membrane Roofing
BID ITEM: erection of composite metal floor deck 3-inch 20 gauge including all necessary accessories and hardware. per project specification Section 05 30 00.,05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
Furnish and install back-painted decorative glass panels as indicated on drawings and per ASTM C1048 for flat glass specifications. Mock-up panel required for architect approval before production.,08,Openings,08 80 00,Glazing,Category 08 - Openings,08 80 00 Glazing
Supply and install duct-mounted fire and smoke dampers for data center precision air distribution. Insulation: 2-inch fiberglass duct wrap with vapor barrier. per project specification Section 23 30 00.,23,HVAC,23 30 00,HVAC Air Distribution,Category 23 - HVAC,23 30 00 HVAC Air Distribution
This submittal covers the supply and installation of exterior LED wall pack and pole-mounted fixtures for warehouse and industrial high-bay areas. All work to comply with per NEC Article 410 and local energy code. Includes dimming drivers compatible with 0-10V control system.,26,Electrical,26 50 00,Lighting,Category 26 - Electrical,26 50 00 Lighting
Subject: Material Submittal – application of sheet membrane waterproofing for plaza deck including all necessary accessories and hardware. conforming to local building code moisture protection requirements.,07,Thermal and Moisture Protection,07 10 00,Dampproofing and Waterproofing,Category 07 - Thermal and Moisture Protection,07 10 00 Dampproofing and Waterproofing
Furnish and install concrete placement and finishing for foundations as indicated on drawings and per approved concrete mix design. Water-to-cement ratio not to exceed 0.45.,03,Concrete,03 30 00,Cast-in-Place Concrete,Category 03 - Concrete,03 30 00 Cast-in-Place Concrete
VENDOR SUBMITTAL: installation of continuous exterior insulation (CI) system including all necessary accessories and hardware. per ASHRAE 90.1 energy code requirements.,07,Thermal and Moisture Protection,07 20 00,Thermal Insulation,Category 07 - Thermal and Moisture Protection,07 20 00 Thermal Insulation
"BID ITEM: Vendor submittal: explosion-proof lighting for hazardous locations. All fixtures to be LED with minimum 50,000-hour rated life. per IES recommended lighting levels for occupancy type.",26,Electrical,26 50 00,Lighting,Category 26 - Electrical,26 50 00 Lighting
RE: Dampproofing and Waterproofing – Furnish and install liquid-applied air and vapor barrier as indicated on drawings and per project specification Section 07 10 00. Surface preparation includes primer coat as recommended by manufacturer.,07,Thermal and Moisture Protection,07 10 00,Dampproofing and Waterproofing,Category 07 - Thermal and Moisture Protection,07 10 00 Dampproofing and Waterproofing
RE: Thermal Insulation – Request for approval: blown-in cellulose insulation for attic spaces for use for mechanical room pipe and duct insulation. Fire rating: Class A flame spread per ASTM E84. conforming to local energy conservation code.,07,Thermal and Moisture Protection,07 20 00,Thermal Insulation,Category 07 - Thermal and Moisture Protection,07 20 00 Thermal Insulation
"Scope of work includes supply and installation of LED recessed troffer light fixtures 2x4 for office, lobby and common area lighting. All fixtures to be LED with minimum 50,000-hour rated life.",26,Electrical,26 50 00,Lighting,Category 26 - Electrical,26 50 00 Lighting
"Scope of work includes delivery and setting of blast-resistant security window assemblies for exterior building facade per window schedule. Includes all sealants, flashing and perimeter caulking.",08,Openings,08 50 00,Windows,Category 08 - Openings,08 50 00 Windows
Subject: Material Submittal – Quotation for duct-mounted fire and smoke dampers for rooftop air handling unit connections. Ductwork fabricated per SMACNA standards. per mechanical drawings and duct layout schedule.,23,HVAC,23 30 00,HVAC Air Distribution,Category 23 - HVAC,23 30 00 HVAC Air Distribution
Scope of work includes furnishing and connecting of tankless instantaneous water heater for building water treatment and softening. Manufacturer factory startup and commissioning required.,22,Plumbing,22 30 00,Plumbing Equipment,Category 22 - Plumbing,22 30 00 Plumbing Equipment
Furnish and install plywood concrete formwork system as indicated on drawings and per structural engineer approved shop drawings. Allow for three reuses of formwork panels.,03,Concrete,03 10 00,Concrete Forming and Accessories,Category 03 - Concrete,03 10 00 Concrete Forming and Accessories
VENDOR SUBMITTAL: Vendor submittal: foam board insulation for slab edge. R-value verified by third-party testing per ASTM C518. per ASHRAE 90.1 energy code requirements.,07,Thermal and Moisture Protection,07 20 00,Thermal Insulation,Category 07 - Thermal and Moisture Protection,07 20 00 Thermal Insulation
"Subcontractor bid for polished concrete floor with densifier and sealer. Location: for commercial kitchen and food prep areas. Includes all floor preparation, leveling and patching.",09,Finishes,09 60 00,Flooring,Category 09 - Finishes,09 60 00 Flooring
"BID ITEM: Vendor submittal: radiant ceiling panel heating system. Includes gas piping, venting and combustion air provisions. per local mechanical and fuel gas code.",23,HVAC,23 70 00,Central Heating Equipment,Category 23 - HVAC,23 70 00 Central Heating Equipment
"Subcontractor bid for FRP fiberglass reinforced plastic doors. Location: for main building entry and vestibule. Hardware to include lever handles, closers, and hinges per hardware schedule.",08,Openings,08 10 00,Doors and Frames,Category 08 - Openings,08 10 00 Doors and Frames
Supply and install foam board insulation for slab edge for mechanical room pipe and duct insulation. Insulation to be unfaced or kraft-faced as indicated. per project specification Section 07 20 00.,07,Thermal and Moisture Protection,07 20 00,Thermal Insulation,Category 07 - Thermal and Moisture Protection,07 20 00 Thermal Insulation
"Request for approval: ductwork insulation wrap and lining for use for rooftop air handling unit connections. Includes all hangers, supports and seismic bracing per code. per ASHRAE 90.1 duct insulation requirements.",23,HVAC,23 30 00,HVAC Air Distribution,Category 23 - HVAC,23 30 00 HVAC Air Distribution
"Request for approval: column formwork with snap ties for use for foundation walls and footings. Plywood grade B-B, minimum 3/4 inch thick. conforming to OSHA shoring requirements.",03,Concrete,03 10 00,Concrete Forming and Accessories,Category 03 - Concrete,03 10 00 Concrete Forming and Accessories
BID ITEM: Vendor submittal: composite metal floor deck 3-inch 20 gauge. Deck to be Vulcraft or approved equal. per project specification Section 05 30 00.,05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
Furnish and install raised access flooring system 6-inch pedestal as indicated on drawings and per project specification Section 09 60 00. Transition strips at all flooring material changes.,09,Finishes,09 60 00,Flooring,Category 09 - Finishes,09 60 00 Flooring
"Vendor submittal: unit heater gas-fired for warehouse. Includes gas piping, venting and combustion air provisions. per ASME Boiler and Pressure Vessel Code for boilers.",23,HVAC,23 70 00,Central Heating Equipment,Category 23 - HVAC,23 70 00 Central Heating Equipment
Scope of work includes supply and application of wood stain and polyurethane finish for millwork for mechanical and electrical rooms. Colors per architect-selected paint schedule.,09,Finishes,09 90 00,Painting and Coating,Category 09 - Finishes,09 90 00 Painting and Coating
"Scope of work includes furnishing and applying of vegetated green roof assembly with drainage mat for green roof system over parking structure. Insulation R-30 minimum per energy code, tapered for drainage.",07,Thermal and Moisture Protection,07 50 00,Membrane Roofing,Category 07 - Thermal and Moisture Protection,07 50 00 Membrane Roofing
Scope of work includes placement of epoxy-coated rebar for exposed concrete for concrete shear walls per seismic design. Rebar to be shop-fabricated and tagged per bar schedule.,03,Concrete,03 20 00,Concrete Reinforcing,Category 03 - Concrete,03 20 00 Concrete Reinforcing
"Provide all labor, materials and equipment for chilled water air handler unit (AHU) with economizer for data center and server room cooling. per ASHRAE 90.1 minimum efficiency requirements. Unit to be high-efficiency with minimum 14 SEER rating.",23,HVAC,23 60 00,Central Cooling Equipment,Category 23 - HVAC,23 60 00 Central Cooling Equipment
Subject: Material Submittal – This submittal covers the furnishing and applying of fluid-applied rubberized asphalt waterproofing for occupied basement and parking levels. All work to comply with per ASTM D6153 for liquid-applied waterproofing. Includes protection board and drainage composite.,07,Thermal and Moisture Protection,07 10 00,Dampproofing and Waterproofing,Category 07 - Thermal and Moisture Protection,07 10 00 Dampproofing and Waterproofing
Scope of work includes installation of metal stud framing 3-5/8 inch 20-gauge for interior partitions and ceilings throughout building. Partitions to achieve fire rating per UL assembly design.,09,Finishes,09 20 00,Plaster and Gypsum Board,Category 09 - Finishes,09 20 00 Plaster and Gypsum Board
"Provide all labor, materials and equipment for condensing high-efficiency boiler 95% AFUE for ventilation air preheat system. per project specification Section 23 70 00. Expansion tank, air separator and chemical feeder included.",23,HVAC,23 70 00,Central Heating Equipment,Category 23 - HVAC,23 70 00 Central Heating Equipment
Vendor submittal: 5000 PSI high-strength concrete for columns. Maximum slump 4 inches without superplasticizer. per ACI 318 and ACI 301 specifications.,03,Concrete,03 30 00,Cast-in-Place Concrete,Category 03 - Concrete,03 30 00 Cast-in-Place Concrete
SCOPE OF WORK DESCRIPTION: supply and application of foundation drain board and protection course including all necessary accessories and hardware. per manufacturer installation guidelines.,07,Thermal and Moisture Protection,07 10 00,Dampproofing and Waterproofing,Category 07 - Thermal and Moisture Protection,07 10 00 Dampproofing and Waterproofing
RE: Flooring – Quotation for polished concrete floor with densifier and sealer for gymnasium and multipurpose room. Transition strips at all flooring material changes. per project specification Section 09 60 00.,09,Finishes,09 60 00,Flooring,Category 09 - Finishes,09 60 00 Flooring
"Vendor submittal: backflow preventer and pressure reducing valve. Includes all valves, supports, hangers and seismic bracing. per project specification Section 22 10 00.",22,Plumbing,22 10 00,Plumbing Piping and Pumps,Category 22 - Plumbing,22 10 00 Plumbing Piping and Pumps
Vendor submittal: structural steel canopy framing. Steel to be blast-cleaned and primed with shop primer. per structural engineer sealed shop drawings.,05,Metals,05 10 00,Structural Metal Framing,Category 05 - Metals,05 10 00 Structural Metal Framing
"SCOPE OF WORK DESCRIPTION: Provide all labor, materials and equipment for PVC DWV drain, waste and vent piping for mechanical room plumbing connections. per local plumbing code and health department requirements. Includes all valves, supports, hangers and seismic bracing.",22,Plumbing,22 10 00,Plumbing Piping and Pumps,Category 22 - Plumbing,22 10 00 Plumbing Piping and Pumps
"RE: Plaster and Gypsum Board – Subcontractor bid for glass mat gypsum sheathing for exterior. Location: for tenant improvement build-out. Metal studs at 16 inches on center, bridging at mid-height.",09,Finishes,09 20 00,Plaster and Gypsum Board,Category 09 - Finishes,09 20 00 Plaster and Gypsum Board
furnishing and hanging of fire-rated steel doors and frames 90-minute including all necessary accessories and hardware. per door and hardware schedule on drawings.,08,Openings,08 10 00,Doors and Frames,Category 08 - Openings,08 10 00 Doors and Frames
This submittal covers the supply and installation of stainless steel piping for medical gas for restroom and kitchen plumbing rough-in. All work to comply with per Uniform Plumbing Code (UPC). Insulation on all hot and cold water piping per specification.,22,Plumbing,22 10 00,Plumbing Piping and Pumps,Category 22 - Plumbing,22 10 00 Plumbing Piping and Pumps
"BID ITEM: This submittal covers the rough-in and termination of wire connectors, lugs and termination kits for electrical raceway and wiring infrastructure. All work to comply with per UL listed materials and components. As-built drawings required showing all concealed raceway routing.",26,Electrical,26 05 00,Common Work Results for Electrical,Category 26 - Electrical,26 05 00 Common Work Results for Electrical
SCOPE OF WORK DESCRIPTION: Vendor submittal: outside air louvers with bird screen. Ductwork fabricated per SMACNA standards. per project specification Section 23 30 00.,23,HVAC,23 30 00,HVAC Air Distribution,Category 23 - HVAC,23 30 00 HVAC Air Distribution
"SCOPE OF WORK DESCRIPTION: Quotation for fire-rated steel doors and frames 90-minute for mechanical and electrical room access. Includes all weatherstripping, thresholds and smoke seals. per NFPA 80 fire door assembly standards.",08,Openings,08 10 00,Doors and Frames,Category 08 - Openings,08 10 00 Doors and Frames
